experiment,plate,row,col,protect,path,plant,protect_od,path_od,date_ster,date_germ,date_inoc,date_process,light_dn,light_lx,temp_dn,MS,MES,pH,notes
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,A,1,CHAO,N2C3-L,col0,0.01,0.01,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,B,1,CHAO,N2C3-L,col0,0.01,0.0001,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,C,1,CHAO,N2C3-L,col0,0.01,1E-06,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,D,1,CHAO,MOCK,col0,0.01,0,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,E,1,CH267,N2C3-L,col0,0.01,0.01,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,F,1,CH267,N2C3-L,col0,0.01,0.0001,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,G,1,CH267,N2C3-L,col0,0.01,1E-06,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,H,1,CH267,MOCK,col0,0.01,0,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,A,2,CHAO,N2C3-L,col0,0.001,0.01,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,B,2,CHAO,N2C3-L,col0,0.001,0.0001,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,C,2,CHAO,N2C3-L,col0,0.001,1E-06,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
2023-06-21_ac_ccpwn,scan_CHAO_CH267_Day5_001_a,D,2,CHAO,MOCK,col0,0.001,0,2023-06-12,2023-06-16,2023-06-21,2023-06-28,12_12,110,23_23,0.5,0.5,5.8,
